Correlation Table - 50 periods
https://www.mataf.net
Sun, 17 Sep 2023 03:22:32 +0000
pair1,pair2,5min,15min,1h,4h,day,week
EURUSD,EURUSD,100,100,100,100,100,0
EURUSD,GBPUSD,93,4.1,92.2,77.7,95.9,0
EURUSD,NZDUSD,91.1,-4.2,48.6,-1.1,93.3,0
EURUSD,AUDUSD,80,-19.7,-46.5,-27.9,91.1,0
EURUSD,NZDCAD,88,-18.6,83.5,44.3,90.2,0
EURUSD,AUDCAD,87.6,-30.9,-0.4,7.4,86,0
EURUSD,NZDCHF,10.9,-43.1,-49.2,-44,77.9,0
EURUSD,EURCHF,-25.5,45.7,93.5,59.1,75.6,0
EURUSD,AUDCHF,-50.2,-53.4,-84.4,-51.6,70.4,0
EURUSD,NZDJPY,85.4,-20,-3.6,-43.3,55.5,0
EURUSD,EURCAD,86.2,56,98.5,72.4,50.8,0
EURUSD,EURGBP,16.6,36.4,51.4,-3.5,36.3,0
EURUSD,GBPCHF,-27.9,-22.1,87.2,63,35.6,0
EURUSD,AUDJPY,60,-33.6,-65.7,-55.5,26,0
EURUSD,GBPCAD,82.5,-6.3,94.6,60.4,23.8,0
EURUSD,CADCHF,-89.2,-17.3,-94.4,-53,-7.8,0
EURUSD,AUDNZD,-71.8,-52.2,-87.8,-54,-39.8,0
EURUSD,EURJPY,88.2,79.7,88.3,56.5,-53.4,0
EURUSD,EURAUD,34.7,54.7,93.7,70.7,-55.5,0
EURUSD,GBPAUD,22.1,40.2,91.1,59.6,-60.4,0
EURUSD,GBPJPY,71,-9.1,84.9,45.3,-61.5,0
EURUSD,EURNZD,-26.4,48.6,86.3,70.5,-67.7,0
EURUSD,GBPNZD,-26.3,14.6,86.4,56.3,-71.4,0
EURUSD,CHFJPY,87.6,10.1,54.5,21.1,-73.6,0
EURUSD,CADJPY,-28,-5.5,-78.9,-50.3,-82.6,0
EURUSD,USDCAD,-9.2,-19.2,75.1,31.3,-89.6,0
